,car_model,year_of_manufacture,price,fuel
0,ritz,2014,5000.0,Petrol
1,sx4,2013,7090.0,Diesel
2,ciaz,2017,10821.0,Petrol
3,wagon r,2011,4254.0,Petrol
4,swift,2014,6866.0,Diesel
5,vitara brezza,2018,13806.0,Diesel
6,ciaz,2015,10075.0,Petrol
7,s cross,2015,9701.0,Diesel
8,ciaz,2016,13060.0,Diesel
9,ciaz,2015,11119.0,Diesel
10,alto 800,2017,4254.0,Petrol
11,ciaz,2015,10224.0,Diesel
12,ciaz,2015,11194.0,Petrol
13,ertiga,2015,9104.0,Petrol
14,dzire,2009,3358.0,Petrol
15,ertiga,2016,11567.0,Diesel
16,ertiga,2015,10821.0,Diesel
17,ertiga,2016,11567.0,Diesel
18,wagon r,2015,4851.0,CNG
19,sx4,2010,3955.0,Petrol
20,alto k10,2016,4254.0,Petrol
21,ignis,2017,7313.0,Petrol
22,sx4,2011,6567.0,Petrol
23,alto k10,2014,3731.0,Petrol
24,wagon r,2013,4328.0,Petrol
25,swift,2011,4478.0,Petrol
26,swift,2013,6194.0,Petrol
27,swift,2017,8955.0,Petrol
28,alto k10,2010,2910.0,Petrol
29,ciaz,2015,11119.0,Diesel
30,ritz,2012,4627.0,Diesel
31,ritz,2011,3507.0,Petrol
32,swift,2014,7388.0,Diesel
33,ertiga,2014,8955.0,Diesel
34,dzire,2014,8209.0,Diesel
35,sx4,2011,4403.0,CNG
36,dzire,2015,6940.0,Petrol
37,800,2003,522.0,Petrol
38,alto k10,2016,4478.0,Petrol
39,sx4,2003,3358.0,Petrol
40,baleno,2016,8731.0,Petrol
41,alto k10,2014,3806.0,Petrol
42,sx4,2008,2910.0,Petrol
43,dzire,2014,8209.0,Diesel
44,omni,2012,1866.0,Petrol
45,ciaz,2014,11194.0,Petrol
46,ritz,2013,3955.0,Petrol
47,wagon r,2006,1567.0,Petrol
48,ertiga,2015,8657.0,Petrol
49,ciaz,2017,11567.0,Petrol
50,fortuner,2012,22239.0,Diesel
51,fortuner,2015,34328.0,Diesel
52,innova,2017,26866.0,Diesel
53,fortuner,2013,23881.0,Diesel
54,innova,2005,4104.0,Petrol
55,corolla altis,2009,5373.0,Petrol
56,etios cross,2015,6716.0,Petrol
57,corolla altis,2010,7090.0,Petrol
58,etios g,2014,6119.0,Petrol
59,fortuner,2014,29836.0,Diesel
60,corolla altis,2013,10373.0,Petrol
61,etios cross,2015,6716.0,Petrol
62,fortuner,2014,27985.0,Diesel
63,fortuner,2015,35075.0,Diesel
64,fortuner,2017,49254.0,Diesel
65,etios liva,2014,7090.0,Diesel
66,innova,2017,29478.0,Petrol
67,fortuner,2010,13806.0,Diesel
68,corolla altis,2011,6493.0,Petrol
69,corolla altis,2016,21269.0,Petrol
70,etios liva,2014,5896.0,Diesel
71,corolla altis,2011,6716.0,Diesel
72,corolla altis,2013,11119.0,Petrol
73,etios liva,2011,3955.0,Petrol
74,etios cross,2014,7313.0,Diesel
75,etios g,2015,5896.0,Petrol
76,corolla altis,2013,8209.0,Petrol
77,corolla,2004,2239.0,Petrol
78,corolla altis,2010,7836.0,Petrol
79,fortuner,2012,21642.0,Diesel
80,corolla altis,2016,21985.0,Diesel
81,etios gd,2015,7090.0,Diesel
82,innova,2017,34328.0,Diesel
83,innova,2015,18657.0,Diesel
84,innova,2005,5209.0,Diesel
85,camry,2006,3731.0,Petrol
86,land cruiser,2010,52239.0,Diesel
87,corolla altis,2012,8806.0,Petrol
88,etios liva,2013,5149.0,Petrol
89,etios g,2014,7090.0,Petrol
